Role Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Active?,Role Image,Responsibilities,Requirements,Discipline,School
Accounts Manager (Financial Forecasting & Procurement),accounts-manager-financial-forecasting-procurement,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,69e58c22f693efed37cb1801,false,false,Mon Apr 20 2026 02:14:58 GMT+0000 (Coordinated Universal Time),Mon Apr 20 2026 03:03:00 GMT+0000 (Coordinated Universal Time),Mon Apr 20 2026 03:03:00 GMT+0000 (Coordinated Universal Time),true,,"<ul><li>Manage team budgets, expense tracking, and financial reporting &nbsp;</li></ul><ul><li>Oversee procurement processes (e.g. software subscriptions like AWS, equipment purchases) &nbsp;</li></ul><ul><li>Review and approve purchase requests across subteams &nbsp;</li></ul><ul><li>Forecast financial needs for builds, competitions, and events &nbsp;</li></ul><ul><li>Maintain financial records and ensure accountability across the team &nbsp;</li></ul><ul><li>Work with sponsorships to track incoming funding and allocations </li></ul><p>‍</p>","<ul><li>Strong attention to detail and organisational skills &nbsp;</li></ul><ul><li>Interest in finance, accounting, or operations &nbsp;</li></ul><ul><li>Experience with spreadsheets (Excel/Google Sheets) &nbsp;</li></ul><ul><li>Ability to manage multiple requests and deadlines &nbsp;</li></ul><ul><li>Clear communication when working with technical and non-technical teams </li></ul><p>‍</p>",,
Alternative Energies Engineer,alternative-energies-engineer-a6a01,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a0d3200066712823a5,false,false,Sun May 18 2025 06:09:36 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/68725399b6e2f0969c24c8f3_2021-12-13-Sunswift-test-drive-0059.avif,"<ul id=""""><li>Design, analyse and optimise an automotive PEM hydrogen fuel cell system </li></ul><ul id=""""><li>Creating engineering diagrams, i.e. Block Flow Diagrams (BFDs), Process Flow Diagrams (PFDs) and Piping and Instrumentation Diagrams (P&amp;IDs) to accurately map out the fuel cell system &nbsp;</li></ul><ul id=""""><li>Develop and carry out fuel cell testing procedures to measure the efficiency, reliability and safety of the fuel cell system under various operating conditions to ensure compliance with Australian Design Rules (ADRs) </li></ul><ul id=""""><li>Collaborate with multidisciplinary teams to ensure seamless integration of the hydrogen system with other vehicle components and energy sources </li></ul>","<ul id=""""><li>3<sup id="""">rd</sup> Year Student (Preferred) </li></ul><ul id=""""><li>Currently pursuing an undergraduate degree in Chemical Engineering / Chemical Product Engineering </li></ul><ul id=""""><li>Experienced with / interested in designing and testing hydrogen energy systems &nbsp;</li></ul><ul id=""""><li>Solid foundation in Chemical Engineering concepts i.e. mass and energy balances (CEIC2000), and heat and mass transfer (CEIC2002) </li></ul><ul id=""""><li>Able to carry out / have knowledge in equipment selection and the engineering design process (CEIC3004) </li></ul><ul id=""""><li>Bonus – knowledge in process simulation with software e.g. ASPEN Plus / Hysys or any simulation software of choice (CEIC3004 and/or CEIC3005) </li></ul><ul id=""""><li>Bonus – knowledge in process modeling with software e.g. MATLAB / Python or any code of choice (MATH2089 and/or MATH2018, CEIC3000) </li></ul>",Chemical Engineering,Engineering
Alternative Energies Engineer,alternative-energies-engineer-f7437,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a1c8bbccc8ee5241aa,false,false,Sun May 18 2025 06:09:37 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),false,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/687255258b459659a5484d90_2021-12-13-Sunswift-test-drive-0097.jpg,"<ul id="""">  <li>Design and integrate the electrical systems required for the hydrogen fuel cell subsystem, including interfacing with the vehicle’s high-voltage bus</li>  <li>Specify and support the implementation of DC-DC converters to match fuel cell output to the SR8 ECS architecture</li>  <li>Assist in the development of the Power Control Unit (PCU), focusing on safety interlocks, power routing, shutdown logic, and telemetry</li>  <li>Support sensor selection and signal integration for stack voltage, current, temperature, hydrogen leak detection, and system-level fault response</li>  <li>Collaborate with the ECS and Embedded Systems teams to define electrical safety protocols, wiring layout, and fail-safe response logic</li>  <li>Contribute to electrical testing and validation of the fuel cell under real and simulated load conditions</li></ul>","<ul id="""">  <li>Proficiency in circuit design and schematic capture (e.g. KiCAD, Altium, or equivalent) is preferred</li>  <li>Strong understanding of DC power systems, including power electronics, isolation, and grounding strategies</li>  <li>Familiarity with embedded systems or low-level control (e.g. microcontrollers, GPIO, CAN) is highly desirable</li>  <li>Experience with sensor interfacing and signal conditioning (analog/digital) preferred</li>  <li>Ability to collaborate in a fast-moving, multidisciplinary team and communicate clearly across engineering domains</li>  <li>Electrical engineering or Mechatronics students are encouraged to apply</li></ul>",Electrical Engineering,Engineering
Alternative Energies Software Engineer,alternative-energies-software-engineer,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,687b42ca8ca7f33437332a58,false,false,Sat Jul 19 2025 07:01:30 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/687254a861b8e8a2b3d8f57c_2021-12-13-Sunswift-test-drive-0035.jpg,"<ul><li>Implement real-time data logging for the 240 W pilot-scale Proton Exchange Membrane Fuel Cell (PEMFC)</li><li>Develop embedded or software-based systems to track critical operating parameters including voltage, current, temperature, humidity, gas pressure, and hydrogen/air flow rates during vehicle operation.</li><li>Design control logic to operate key fuel cell subsystems, such as compressors, fans, and mass flow controllers</li><li>Develop and integrate fault detection and safety response logic to protect the fuel cell system from hazardous conditions such as hydrogen leaks, overheating, or membrane dry-out.</li><li>Support the development and testing of safe and reliable startup/shutdown procedures for the PEMFC system, ensuring smooth transitions between power states within the vehicle’s tribrid energy system (battery–solar–hydrogen).</li></ul>","<ul><li>Currently studying Computer Science, Software Engineering, Electrical/Mechatronics Engineering.</li><li>Proficiency in programming languages such as C/C++ and Python</li><li>Understanding of real-time systems or control loops (e.g. PID control).</li><li>Ability to read circuit diagrams and interface with hardware.</li><li>Strong Problem-Solving Skills and ability to work in a multi-disciplinary team environment</li><li>A passion for renewable energy, sustainable transport, and cutting-edge technology is a bonus</li></ul>",Software Engineering,Engineering
Branding and Merchandise,branding-and-merchandise,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a2f9165ea00760e107,false,false,Sun May 18 2025 06:09:38 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),false,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/687256e236e4676afd40d5b3_Image%202_edited.jpg,"<p id="""">This role involves creating a clear brand image across all communications and designs. Such branding is managed across promotional materials, the Sunswift website, and the creation of cohesive team merchandise.&nbsp;<br></p><p id="""">This includes consolidating existing Sunswift merchandise and social channels and creating specific style guides and oversight for new media.</p>",,Media,Media
Business Development,business-development,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,69e58be3878d0a06fbb68efd,false,false,Mon Apr 20 2026 02:13:55 GMT+0000 (Coordinated Universal Time),Mon Apr 20 2026 03:03:03 GMT+0000 (Coordinated Universal Time),Mon Apr 20 2026 03:03:03 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/69e58bc6c28627814912a45a_busi%20deevlop%20(1).png,"<ul><li>Improve internal workflows, systems, and operational efficiency &nbsp;</li></ul><ul><li>Implement and manage business tools (e.g. ERP systems like Odoo) &nbsp;</li></ul><ul><li>Support data management and cross-team integration &nbsp;</li></ul><ul><li>Identify inefficiencies and propose process improvements &nbsp;</li></ul><ul><li>Work with subteams to streamline operations and communication &nbsp;</li></ul><ul><li>Assist in scaling Sunswift’s internal capabilities &nbsp;</li></ul><p>‍</p>","<ul><li>Analytical and problem-solving mindset &nbsp;</li></ul><ul><li>Interest in operations, consulting, or systems implementation &nbsp;</li></ul><ul><li>Familiarity with software tools or willingness to learn &nbsp;</li></ul><ul><li>Ability to understand cross-functional team needs &nbsp;</li></ul><ul><li>Strong initiative and adaptability </li></ul><p>‍</p>",Business,Business
Content Creator,content-creator,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,6879f83ca429d50db750bc24,false,false,Fri Jul 18 2025 07:31:08 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:12 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/687a017b4994a8ccbeb2c8e1_image(1).png,"<p id="""">Sunswift aims to create engaging and high-quality content on platforms such as Instagram, Facebook, LinkedIn, and YouTube. This role involves working with the photographer/videographer, social media officer, and media officer, to create content that executes the vision of the media team to project a clear brand voice and visual identity. This includes:</p><ul><li>Creating graphic and video content </li><li>Assisting with recording video and taking photos for specific social media posts </li><li>Curating photos, video, and audio for Sunswift’s media channels</li></ul>",,Media,Media
Copywriter,copywriter,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,69d515ef24befb7f4ae2dbcf,false,false,Tue Apr 07 2026 14:34:23 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),true,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/69d5c6079926df6dd9c5753f_copywriter.jpg,"<p>In this role we are looking for someone with strong written communication skills to write for various content forms including social media and newsletters.</p><p><a href=""https://forms.cloud.microsoft/Pages/ResponsePage.aspx?id=pM_2PxXn20i44Qhnufn7o7pdhLeqwPNNryop8wbNiK9UMERaOFI2QkgzMTY4Q1NHTjRPMUROVk5OWS4u"" target=""_blank"">Apply for this role here!</a></p>",<ul><li>Collaborate with other roles to maintain a consistent brand voice </li></ul><ul><li>Adapting to different target audiences </li></ul><ul><li>Execute media strategy through written communication </li></ul><p>‍</p>,Media,Media
Design Engineer: Chassis and Bodywork,design-engineer-chassis-and-bodywork,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a2c605e9c21bf1c5fb,false,false,Sun May 18 2025 06:09:38 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:14 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:14 GMT+0000 (Coordinated Universal Time),false,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/687256735fe95b0ea21cdd02_2021-05-07-CANCER-RESEARCH-CAN-20-2496R2-Capture-0028(2).avif,"<ul id="""">  <li>Design and maintain detailed CAD models and assemblies of various chassis components.</li>  <li>Optimise part performance and ensure compliance with Australian standards by using simulation software and real-world testing to analyse and evaluate components.</li>  <li>Employ various manufacturing methods and processes to fabricate composite and non-composite parts.</li>  <li>Keep up to date with advancements in materials science, manufacturing, and automotive engineering to be able to apply recent engineering innovations to current projects.</li>  <li>Collaborate effectively with engineers across departments and disciplines to ensure optimal integration of mechanical and electrical subsystems.</li></ul>","<ul id="""">  <li>Currently pursuing an undergraduate degree in Aerospace Engineering, Mechanical Engineering, Mechatronics Engineering or a related field.</li>  <li>Proficiency in CAD software (e.g., Solidworks) is essential.</li>  <li>Strong understanding of common manufacturing processes.</li>  <li>Bonus - knowledge in composite materials and manufacturing.</li>  <li>Bonus - proficiency in FEA.</li>  <li>Bonus - robotics experience or knowledge of electrical systems.</li></ul>",Mechanical Engineering,Engineering
Electrical Control System Engineer,electrical-control-system-engineer,682978edd8c30949b2fd6bf0,68170b56936df62525bb06b5,682979a1bb81a9ae144f4bef,false,false,Sun May 18 2025 06:09:37 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),Wed Apr 08 2026 03:19:13 GMT+0000 (Coordinated Universal Time),false,https://cdn.prod.website-files.com/68170b56936df62525bb06bd/687254c859be65ec3ee11d1f_2021-12-13-Sunswift-test-drive-0034.jpg,"<ul id="""">  <li>Develop the Electrical Control System (ECS) that manages and optimizes power flow between the SR8’s battery, solar panels, motors, MPPT, charging and hydrogen fuel cells.</li>  <li>Integrate control algorithms to ensure efficient energy distribution and system stability across all energy sources.</li>  <li>Create detailed electrical schematics and circuit designs using PCB design software (e.g., Altium) to ensure compliance with project specifications, Australian Design Rules and relevant safety and electrical standards.</li>  <li>Perform simulations and model energy systems using software tools (e.g., MATLAB, Simulink) to test control strategies.</li>  <li>Monitor and troubleshoot the performance of control systems, identifying faults and optimizing system behavior.</li>  <li>Document control system designs, updates, and test results, and contribute to technical reports.</li></ul>","<ul id="""">  <li>Currently pursuing an undergraduate degree in Electrical Engineering, Mechatronics, or a related field.</li>  <li>Strong understanding of control systems, particularly in the context of energy management and power systems.</li>  <li>Familiarity with communication protocols (e.g. Modbus, CAN, or SCADA systems) used in control and monitoring systems.</li>  <li>Experience with control system development tools (e.g. Altium, MATLAB, Simulink) is preferred.</li>  <li>Good communication skills to liaise with project managers and a cross-disciplinary team.</li>  <li>Enthusiastic about sustainable energy solutions and renewable technologies.</li></ul>",Electrical Engineering,Engineering
